v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted
,,,,,,,,,,,,,,,,,,,,2,,"Flights between  500 and 1000 miles",1
181,"Calculate Flight cost when Miles valid,Date invalid and Economy Class",,,,,high,major,functional,negative,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display an Error message.""
","1. ""URL""
2. ""500""
3. ""0""
4. ""Economy""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
182,"Calculate Flight cost when Miles valid,Date valid and Economy Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $50""
","1. ""URL""
2. ""500""
3. ""1""
4. ""Economy""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
183,"Calculate Flight cost when Miles valid,Date valid and Economy Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $50""
","1. ""URL""
2. ""500""
3. ""2""
4. ""Economy""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
184,"Calculate Flight cost when Miles valid,Date valid and Economy Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $50""
","1. ""URL""
2. ""500""
3. ""6""
4. ""Economy""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
185,"Calculate Flight cost when Miles valid,Date valid and Economy Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $50""
","1. ""URL""
2. ""500""
3. ""7""
4. ""Economy""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
186,"Calculate Flight cost when Miles valid,Date valid and Economy Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $40""
","1. ""URL""
2. ""500""
3. ""8""
4. ""Economy""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
187,"Calculate Flight cost when Miles valid,Date valid and Economy Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $40""
","1. ""URL""
2. ""500""
3. ""29""
4. ""Economy""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
188,"Calculate Flight cost when Miles valid,Date valid and Economy Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $40""
","1. ""URL""
2. ""500""
3. ""30""
4. ""Economy""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
189,"Calculate Flight cost when Miles valid,Date valid and Economy Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $30""
","1. ""URL""
2. ""500""
3. ""31""
4. ""Economy""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
190,"Calculate Flight cost when Miles valid,Date valid and Economy Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $30""
","1. ""URL""
2. ""500""
3. ""89""
4. ""Economy""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
191,"Calculate Flight cost when Miles valid,Date valid and Economy Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $30""
","1. ""URL""
2. ""500""
3. ""90""
4. ""Economy""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
192,"Calculate Flight cost when Miles valid,Date invalid and Economy Class",,,,,high,major,functional,negative,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display an Error message""
","1. ""URL""
2. ""500""
3. ""91""
4. ""Economy""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
193,"Calculate Flight cost when Miles valid,Date invalid andBusiness Class",,,,,high,major,functional,negative,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display an Error message""
","1. ""URL""
2. ""500""
3. ""0""
4. ""Business""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
194,"Calculate Flight cost when Miles valid,Date valid andBusiness Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $50""
","1. ""URL""
2. ""500""
3. ""1""
4. ""Business""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
195,"Calculate Flight cost when Miles valid,Date valid andBusiness Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $50""
","1. ""URL""
2. ""500""
3. ""2""
4. ""Business""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
196,"Calculate Flight cost when Miles valid,Date valid andBusiness Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $50""
","1. ""URL""
2. ""500""
3. ""6""
4. ""Business""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
197,"Calculate Flight cost when Miles valid,Date valid andBusiness Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $50""
","1. ""URL""
2. ""500""
3. ""7""
4. ""Business""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
198,"Calculate Flight cost when Miles valid,Date valid andBusiness Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $40""
","1. ""URL""
2. ""500""
3. ""8""
4. ""Business""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
199,"Calculate Flight cost when Miles valid,Date valid andBusiness Class",,,,,high,major,functional,positive,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display $40""
","1. ""URL""
2. ""500""
3. ""29""
4. ""Business""
5. ""N\/A""
",,,2,,"Flights between  500 and 1000 miles",,,no
