v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted
,,,,,,,,,,,,,,,,,,,,1,,"Flat Rate",1
1,"Calculate Flight cost when Miles negative,Date invalid and Economy Class",,,,,high,major,functional,negative,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display an Error message.""
","1. ""URL""
2. ""-1""
3. ""0""
4. ""Economy""
5. ""N\/A""
",,,1,,"Flat Rate",,,no
2,"Calculate Flight cost when Miles negative,Date invalid and Business Class",,,,,high,major,functional,negative,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display an Error message.""
","1. ""URL""
2. ""-1""
3. ""0""
4. ""Business""
5. ""N\/A""
",,,1,,"Flat Rate",,,no
3,"Calculate Flight cost when Miles negative,Date invalid and First Class",,,,,high,major,functional,negative,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display an Error message.""
","1. ""URL""
2. ""-1""
3. ""0""
4. ""First""
5. ""N\/A""
",,,1,,"Flat Rate",,,no
4,"Calculate Flight cost when Miles negative,Date valid and Economy Class",,,,,high,major,functional,negative,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display an Error message.""
","1. ""URL""
2. ""-1""
3. ""1""
4. ""Economy""
5. ""N\/A""
",,,1,,"Flat Rate",,,no
5,"Calculate Flight cost when Miles negative,Date valid and Business Class",,,,,high,major,functional,negative,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display an Error message.""
","1. ""URL""
2. ""-1""
3. ""1""
4. ""Business""
5. ""N\/A""
",,,1,,"Flat Rate",,,no
6,"Calculate Flight cost when Miles negative,Date valid and First Class",,,,,high,major,functional,negative,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display an Error message.""
","1. ""URL""
2. ""-1""
3. ""1""
4. ""First""
5. ""N\/A""
",,,1,,"Flat Rate",,,no
7,"Calculate Flight cost when Miles negative,Date valid and Economy Class",,,,,high,major,functional,negative,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display an Error message.""
","1. ""URL""
2. ""-1""
3. ""2""
4. ""Economy""
5. ""N\/A""
",,,1,,"Flat Rate",,,no
8,"Calculate Flight cost when Miles negative,Date valid and Business Class",,,,,high,major,functional,negative,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display an Error message.""
","1. ""URL""
2. ""-1""
3. ""2""
4. ""Business""
5. ""N\/A""
",,,1,,"Flat Rate",,,no
9,"Calculate Flight cost when Miles negative,Date valid and First Class",,,,,high,major,functional,negative,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display an Error message.""
","1. ""URL""
2. ""-1""
3. ""2""
4. ""First""
5. ""N\/A""
",,,1,,"Flat Rate",,,no
10,"Calculate Flight cost when Miles negative,Date valid and Economy Class",,,,,high,major,functional,negative,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display an Error message.""
","1. ""URL""
2. ""-1""
3. ""6""
4. ""Economy""
5. ""N\/A""
",,,1,,"Flat Rate",,,no
11,"Calculate Flight cost when Miles negative,Date valid and Business Class",,,,,high,major,functional,negative,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display an Error message.""
","1. ""URL""
2. ""-1""
3. ""6""
4. ""Business""
5. ""N\/A""
",,,1,,"Flat Rate",,,no
12,"Calculate Flight cost when Miles negative,Date valid and First Class",,,,,high,major,functional,negative,is-not-automated,actual,no,unknown,classic,"1. ""Go to Application""
2. ""Enter Miles""
3. ""Enter Date""
4. ""Select Class""
5. ""Click Calculate button""
","1. ""Flight Cost Calculator Homepage Display""
2. ""System accept input""
3. ""System accept input""
4. ""System accept input""
5. ""System should display an Error message.""
","1. ""URL""
2. ""-1""
3. ""6""
4. ""First""
5. ""N\/A""
",,,1,,"Flat Rate",,,no
